arrival_date_month,adr
April,104.1401987514333
August,151.8994346891238
December,82.90012345679013
February,75.5406004657352
January,70.96331601731602
July,136.65634592205706
June,120.43869260700389
March,81.70505524117489
May,111.94379422775027
November,73.81238289205703
October,91.38384559038968
September,112.58567990373044
